Program,Course Code,Course Title,Section,Teacher,Exam Date,Exam Time,Room
BBA,ACN 1309/AIS 1302,Financial Accounting II/Intermediate Accounting,C,JBS,"March 13, 2024",11:15 AM - 1:00 PM,206 (111182021-1112310095)                                                                                                                                                                                                                       207 (1112310101-1142320014)
BBA,MGT 3341,Project Management,A,FAhS,"March 13, 2024",11:15 AM - 1:00 PM,201 (111182123-111201185)                                                                                                                                                                                                                       202 (111201186-121221020)
BBA,ACN 2215/AIS 4103,Management Accounting/Management Accounting-I,A,SKa,"March 13, 2024",1:45 PM - 3:30 PM,202 (111191135-111221175)                                                                                                                                                                                                                       203 (111221183-1112320122)
BBA,ACN 2215/AIS 4103,Management Accounting/Management Accounting-I,B,SKa,"March 13, 2024",1:45 PM - 3:30 PM,204 (111192042-111222006)                                                                                                                                                                                                                       205 (111222018-114212006)
BBA,ACN 2215/AIS 4103,Management Accounting/Management Accounting-I,C,HAh,"March 13, 2024",1:45 PM - 3:30 PM,206 (111191040-111222128)                                                                                                                                                                                                                       207 (111222137-114191009)
BBA,MIS 4394,Network Resource Management,A,AAFd,"March 13, 2024",1:45 PM - 3:30 PM,201 (111183092-111211062)
BBA,BDS 1201,History of the Emergence of Bangladesh,A,MRM,"March 14, 2024",9:00 AM - 10:45 AM,202 (111211082-1112330142)                                                                                                                                                                                                                       203 (1112410003-1142410008)
BBA,BDS 1201,History of the Emergence of Bangladesh,B,MRM,"March 14, 2024",9:00 AM - 10:45 AM,204 (111213106-1112410077)                                                                                                                                                                                                                       205 (1112410078-1212410018)
BBA,BDS 1201,History of the Emergence of Bangladesh,C,AAsh,"March 14, 2024",9:00 AM - 10:45 AM,206 (1112230055-1112410143)                                                                                                                                                                                                                       207 (1142410004-1212410020)
BBA,BDS 1201,History of the Emergence of Bangladesh,D,SCT,"March 14, 2024",9:00 AM - 10:45 AM,208 (1112330105-1112410091)                                                                                                                                                                                                                       209 (1112410092-1142410018)
BBA,BDS 1201,History of the Emergence of Bangladesh,E,MRM,"March 14, 2024",9:00 AM - 10:45 AM,210 (111221088-1112410105)                                                                                                                                                                                                                       211 (1112410106-1142410006)
BBA,FIN 4116,Management of Financial Institutions,A,MEH,"March 14, 2024",9:00 AM - 10:45 AM,201 (111191071-111222107)
