Dept.,Course Code,Course Title,Section,Teacher,Exam Date,Exam Time,Room
BSCSE,MATH 183/MATH 2183,"Calculus and Linear Algebra/Linear Algebra, Ordinary & Partial Differential Equations",B,KAE,"May 12, 2024",02:00 PM - 04:00 PM,804 (011182091-0112330820)
BSCSE,MATH 2107/MATH 2183,Calculus and Linear Algebra/Linear Algebra,A,LRS,"May 12, 2024",02:00 PM - 04:00 PM,805 (011191092-0112230332)                                                                                                                                                                                                                       806 (0112230452-0152330115)
BSCSE,MATH 2183,Calculus and Linear Algebra,C,LRS,"May 12, 2024",02:00 PM - 04:00 PM,431 (011201449-0112230787)                                                                                                                                                                                                                       432 (0112230882-0112330490)
BSCSE,MATH 2183,Calculus and Linear Algebra,D,SamAr,"May 12, 2024",02:00 PM - 04:00 PM,323 (011193157-0112310030)                                                                                                                                                                                                                       324 (0112310160-0112330096)
BSCSE,MATH 2183,Calculus and Linear Algebra,E,SiMu,"May 12, 2024",02:00 PM - 04:00 PM,601 (011201160-0112310544)                                                                                                                                                                                                                       602 (0112310566-0112320284)
BSCSE,MATH 2183,Calculus and Linear Algebra,F,SiMu,"May 12, 2024",02:00 PM - 04:00 PM,410 (011191035-0112230282)                                                                                                                                                                                                                       411 (0112230328-0112320277)
BSCSE,MATH 2183,Calculus and Linear Algebra,H,LRS,"May 12, 2024",02:00 PM - 04:00 PM,903 (011212095-0112230972)                                                                                                                                                                                                                       322 (0112310327-0112320238)
BSCSE,MATH 2183,Calculus and Linear Algebra,J,SamAr,"May 12, 2024",02:00 PM - 04:00 PM,325 (011213077-0112310542)
BSCSE,SOC 101/SOC 2101,"Society, Environment and Engineering Ethics/Society, Technology and Engineering Ethics",D,MTR,"May 12, 2024",02:00 PM - 04:00 PM,701 (011163013-0112230276)                                                                                                                                                                                                                       702 (0112230281-0112310499)
BSCSE,SOC 101/SOC 2101,"Society, Environment and Engineering Ethics/Society, Technology and Engineering Ethics",E,AbHn,"May 12, 2024",02:00 PM - 04:00 PM,603 (011173023-0112230573)                                                                                                                                                                                                                       604 (0112230575-0112231070)
BSCSE,SOC 101/SOC 2101,"Society, Environment and Engineering Ethics/Society, Technology and Engineering Ethics",L,RaR,"May 12, 2024",02:00 PM - 04:00 PM,605 (011181112-0112230415)                                                                                                                                                                                                                       630 (0112230436-0112320251)
BSCSE,SOC 101/SOC 2101/SOC 2102,"Society, Environment and Computing Ethics/Society, Environment and Engineering Ethics/Society, Technology and Engineering Ethics",A,TaHn,"May 12, 2024",02:00 PM - 04:00 PM,601 (011211007-0112230428)                                                                                                                                                                                                                       602 (0112230432-0152410023)
BSCSE,SOC 2101,"Society, Environment and Engineering Ethics",B,SaIs,"May 12, 2024",02:00 PM - 04:00 PM,329 (011201391-0112230396)                                                                                                                                                                                                                       330 (0112230397-0112231014)
BSCSE,SOC 2101,"Society, Environment and Engineering Ethics",C,NSS,"May 12, 2024",02:00 PM - 04:00 PM,322 (011201023-0112230646)                                                                                                                                                                                                                       328 (0112230659-0112330877)
BSCSE,SOC 2101,"Society, Environment and Engineering Ethics",F,MiBa,"May 12, 2024",02:00 PM - 04:00 PM,403 (011202165-0112230647)                                                                                                                                                                                                                       404 (0112230656-0112310469)
BSCSE,SOC 2101,"Society, Environment and Engineering Ethics",G,SA,"May 12, 2024",02:00 PM - 04:00 PM,409 (011221293-0112230687)                                                                                                                                                                                                                       410 (0112230688-0112310567)
